"","mean","se_mean","sd","5%","95%","n_eff","Rhat","politician_id_numeric","fullname"
"alpha[432,10]",-1.40361085666869,0.0377380758258234,0.611438747968901,-2.38169138141843,-0.420034588531737,262.510336722324,1.01697308688086,432,"Tom McClintock"
"alpha[432,11]",0.126454850537708,0.0680882484839148,0.909731934585615,-1.34601894773122,1.66739534036135,178.518223104696,1.01255893621855,432,"Tom McClintock"
"alpha[432,12]",-0.681268691842688,0.0694711138227325,0.934771136236021,-2.20059757039267,0.904068058625841,181.05147354235,1.00585864201199,432,"Tom McClintock"
"alpha[432,13]",-1.08724585059458,0.160898029502446,1.03706220736375,-2.57780989737793,0.878130614469476,41.5439861884907,1.0611276005041,432,"Tom McClintock"
"alpha[432,14]",-0.280536600461572,0.514726383364664,1.0284707484745,-2.00017970377224,1.47004888834075,3.99237225911199,1.12504269629867,432,"Tom McClintock"
"alpha[432,15]",-0.236264877350912,0.0780334144873989,0.954608521042809,-1.78768609966404,1.25822955157045,149.654366209823,1.01696386096741,432,"Tom McClintock"
"alpha[432,16]",0.188481341598162,0.0243398175923756,0.133595158725134,-0.0182229398038556,0.428028355214968,30.1263697590072,1.05540204724113,432,"Tom McClintock"
"alpha[432,17]",-0.584157118027677,0.588941327993939,0.632922017402142,-1.69802878744189,0.185581462044563,1.15493181435741,2.3384802853515,432,"Tom McClintock"
"alpha[432,18]",-0.331137875714871,1.72588380104772,1.77087038121149,-2.61577154767547,2.1290001653738,1.05281107132978,3.97465476414519,432,"Tom McClintock"
"alpha[432,19]",0.92284005017782,0.0580497850483166,0.507789476937059,0.193202889026962,1.81169012773375,76.5184495146288,1.0359425530006,432,"Tom McClintock"
"alpha[432,20]",-0.94426461391757,1.12273330991133,1.17232992877119,-2.67238896126481,0.573347775607971,1.09030119792148,2.91491505476237,432,"Tom McClintock"
"alpha[432,21]",0.431673735735477,0.0830637753075439,0.91919349175504,-1.10479554871833,1.92287255390054,122.458954980578,1.00628037477235,432,"Tom McClintock"
"alpha[432,22]",0.420444010307124,0.0490925219028171,0.626832791117113,-0.58847317496061,1.46032324788388,163.031952446367,1.05552152762293,432,"Tom McClintock"
"alpha[432,23]",-0.384303742956605,0.165115957657043,0.892617744372483,-1.7220740250832,1.07176543011258,29.2248934453253,1.0620133279193,432,"Tom McClintock"
"alpha[432,24]",0.589317460424156,0.0236488943730854,0.358289189084087,0.107378550909543,1.24694514960578,229.5333129692,1.01576812384951,432,"Tom McClintock"
"alpha[432,25]",-0.563773579432431,0.236729273818932,0.48401050730154,-1.36798105384838,0.195274905215244,4.1802826516827,1.34062710903134,432,"Tom McClintock"
"alpha[432,26]",0.149246544313815,0.0709947161808991,0.864077990961928,-1.17296701385602,1.66954672633818,148.133686843259,1.00625912532008,432,"Tom McClintock"
"alpha[432,27]",0.474018301984866,0.22174777671541,0.884417219388082,-1.01514539657448,1.81156940765095,15.9072765270852,1.0625113578826,432,"Tom McClintock"
"alpha[432,28]",-1.65236040207116,0.036102190867253,0.490486380144521,-2.55368169370802,-0.921303510430472,184.580912591917,1.00220569610372,432,"Tom McClintock"
"alpha[432,29]",-0.0545343679300577,0.0683083582326059,0.851369955840057,-1.32405821291837,1.48275252049782,155.342019104609,1.00843280512606,432,"Tom McClintock"
"alpha[432,30]",-0.413222475106617,0.636782521207983,1.07901807476947,-2.11420701051424,1.4435370857776,2.87127752229075,1.21391406016265,432,"Tom McClintock"
"alpha[432,31]",0.481966675058183,0.0362378407353132,0.345104683575679,0.0129641835738642,1.08427321792308,90.6936922263449,1.03981342102509,432,"Tom McClintock"
"alpha[432,32]",0.181412519198601,0.12194881857389,1.00303031538631,-1.42721309781597,1.78372011776222,67.6507980155984,1.03277146116365,432,"Tom McClintock"
"alpha[433,1]",0.106487741353406,0.0612899601886315,1.00432624739638,-1.53141000925691,1.75375998257838,268.5164811212,1.01115842181599,433,"Pete Olson"
"alpha[433,2]",0.0741706569432756,0.0515245155642644,0.942132449799279,-1.41185325006075,1.68071164117283,334.345968129523,1.00496226419978,433,"Pete Olson"
"alpha[433,3]",0.183161602263939,0.0597616186994071,0.964722971994701,-1.42824314471559,1.77216787480921,260.591673962224,1.00310017943961,433,"Pete Olson"
"alpha[433,4]",0.113381229159434,0.0538346713452694,0.921115880379845,-1.34444400423535,1.67488450920219,292.75505810714,1.01121097871632,433,"Pete Olson"
"alpha[433,5]",0.238295382299665,0.0622014763773222,0.94256419441887,-1.33054065991934,1.819314363351,229.625698332519,1.00224462710435,433,"Pete Olson"
"alpha[433,6]",0.270492020434966,0.0485028806015528,0.888025720620582,-1.14064880977616,1.79400694974339,335.209273708071,0.999583512975003,433,"Pete Olson"
"alpha[433,7]",0.132897923304239,0.0836450197335969,0.985526258171996,-1.47196410094957,1.7312354961375,138.821337424854,1.02372440305315,433,"Pete Olson"
"alpha[433,8]",0.0748911938546919,0.193263891424894,0.940829746040545,-1.35849386610126,1.66218963201683,23.6984880983499,1.04277649806701,433,"Pete Olson"
"alpha[433,9]",0.538703732582226,0.0403594188768178,0.717267560532464,-0.54511467639221,1.80822770704285,315.843956041422,1.00390921236119,433,"Pete Olson"
"alpha[433,10]",0.0905492801737539,0.0489008812218906,0.967509092766786,-1.52366686511181,1.72608609507838,391.450398633598,1.000854637749,433,"Pete Olson"
"alpha[433,11]",0.144058112990421,0.0733888574717435,1.01306043068318,-1.58630401184544,1.79032536596525,190.55065756659,1.00538677781542,433,"Pete Olson"
"alpha[433,12]",0.223642710780651,0.0515839734536139,0.887035974615532,-1.22325870165479,1.76717418594006,295.701060633889,1.00966848105616,433,"Pete Olson"
"alpha[433,13]",0.0254762438173308,0.0589758913651718,0.995381558081958,-1.65979278811359,1.52391975321738,284.859136242299,1.00481390195601,433,"Pete Olson"
"alpha[433,14]",0.0727521559328486,0.0533537452898819,0.903124935961461,-1.51925770592775,1.52294031642105,286.527192882153,1.00526796886841,433,"Pete Olson"
"alpha[433,15]",0.156485359343628,0.0521391578548891,0.927121375831918,-1.40404847447216,1.66413560311731,316.187840358282,1.02424141908572,433,"Pete Olson"
